"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"GND VIA";37;"";;;
2;"Q1,Q1,Q1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";3;"DMHC3025LSD";;;
3;"C3,C4";"C_0603";2;"10n";;;
4;"P2,P5";"100MIL_ST";2;"PWR";;;
5;"P3";"100MIL_ST";1;"VREF";;;
6;"P4";"100MIL_ST";1;"DIR";;;
7;"R1,R2,R3,R4,R5,R6,R7,R8,R11,R12";"R_0603";10;"10K";;;
8;"R9,R10";"R_0603";2;"1K";;;
9;"R13";"R_1812";1;"R";;;
10;"U1";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"LM324";;;
11;"U2";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"LM339";;;
12;"P1";"100MIL_ST";1;"MOTOR";;;
13;"C1,C2";"C_0603";2;"0.1uF";;;
14;"P6";"100MIL_ST";1;"PWM";;;
15;"R14,R15";"R_0603";2;"150";;;
